gene,r,p_adj
aten_0.1.m1.6065.m1,11,0.478947113
aten_0.1.m1.1330.m1,8,0.679571511
aten_0.1.m1.15669.m1,0,1
aten_0.1.m1.20610.m1,1,1
aten_0.1.m1.20605.m1,1,1
aten_0.1.m1.20610.m1,1,1
aten_0.1.m1.19810.m1,0,1
aten_0.1.m1.9328.m1,0,1
aten_0.1.m1.9328.m1,0,1
aten_0.1.m1.7372.m1,-1,1
aten_0.1.m1.9837.m1,-10,0.686079772
aten_0.1.m1.20043.m1,4,1
aten_0.1.m1.20043.m1,4,1
aten_0.1.m1.6799.m1,4,1
aten_0.1.m1.6737.m1,-3,0.823946746
aten_0.1.m1.1016.m1,0,1
aten_0.1.m1.9569.m1,10,0.030051604
aten_0.1.m1.9569.m1,10,0.030051604
aten_0.1.m1.5499.m1,0,1
aten_0.1.m1.6040.m1,-10,0.239680874
aten_0.1.m1.6040.m1,-10,0.239680874
aten_0.1.m1.13407.m1,16,0.052123187
aten_0.1.m1.11030.m1,0,1
aten_0.1.m1.30734.m1,0,1
aten_0.1.m1.1492.m1,0,1
aten_0.1.m1.1492.m1,0,1
aten_0.1.m1.25195.m1,0,1
aten_0.1.m1.20847.m1,2,1
aten_0.1.m1.866.m1,0,1
aten_0.1.m1.208.m1,13,0.393059643
aten_0.1.m1.28326.m1,17,0.000649686
aten_0.1.m1.16109.m1,0,1
aten_0.1.m1.4795.m1,0,1
aten_0.1.m1.29932.m1,10,0.758267114
aten_0.1.m1.27843.m1,12,0.287999804
aten_0.1.m1.2759.m1,0,1
aten_0.1.m1.3329.m1,0,1
aten_0.1.m1.5882.m1,3,1
aten_0.1.m1.15565.m1,0,1
aten_0.1.m1.20671.m1,0,1
aten_0.1.m1.13425.m1,0,1
aten_0.1.m1.4305.m1,0,1
aten_0.1.m1.4305.m1,0,1
aten_0.1.m1.10263.m1,0,1
aten_0.1.m1.9344.m1,-1,1
aten_0.1.m1.9344.m1,-1,1
aten_0.1.m1.11282.m1,-1,1
aten_0.1.m1.20902.m1,0,1
aten_0.1.m1.20902.m1,0,1
aten_0.1.m1.28293.m1,0,1
