Temp,Timepoint,Culture,type,Mom,Dad,mom_origin,dad_origin,region,maternal_mean,maternal_se,N,mean,sd,se,ci
Hot,2,JEWBulkxPARBulk,bulk,JewellBulk,ParkeBulk,north,north,north,29.65,6.43,3,60.95238095,16.44926233,9.496986036,40.86223289
Hot,2,JEWBulkxSWIBulk,bulk,JewellBulk,SwitzerBulk,north,north,north,29.65,6.43,3,78.22222222,18.87188777,10.89568949,46.88036811
Hot,2,PALBulkxDAV6Bulk,bulk,PalmsBulk,Davies6Bulk,north,central,central,23.18,5.47,6,18.80952381,14.92612192,6.093563758,15.66400431
Hot,2,PAL2xDAV1,individual,Palms2,Davies1,central,central,central,23.18,5.47,3,6.666666667,7.637626158,4.409585518,18.97291517
Hot,2,PAL2xPAL5,individual,Palms2,Palms5,central,central,central,23.18,5.47,3,1.666666667,2.886751346,1.666666667,7.171087883
Hot,2,PAL4xDAV1,individual,Palms4,Davies1,central,central,central,23.18,5.47,3,11.66666667,10.40833,6.009252126,25.85572506
Hot,2,PAL4xPAL2,individual,Palms4,Palms2,central,central,central,23.18,5.47,3,6.666666667,7.637626158,4.409585518,18.97291517
Hot,2,PAL5xPAL4,individual,Palms5,Palms4,central,central,central,23.18,5.47,3,23.33333333,2.886751346,1.666666667,7.171087883
Hot,2,PAR2xDAV8,individual,Parke2,Davies8,north,central,hybrid,29.65,6.43,3,36.66666667,42.52450274,24.5515331,105.6367209
Hot,2,PAR2xPAR5,individual,Parke2,Parke5,north,north,north,29.65,6.43,3,32.93650794,8.29013748,4.786313106,20.59384315
Hot,2,PAR4xDAV1,individual,Parke4,Davies1,north,central,hybrid,29.65,6.43,3,1.666666667,2.886751346,1.666666667,7.171087883
Hot,2,PAR4xPAR2,individual,Parke4,Parke2,north,north,north,29.65,6.43,3,8.333333333,5.773502692,3.333333333,14.34217577
Hot,2,PAR5xDAV10,individual,Parke5,Davies10,north,central,hybrid,29.65,6.43,3,31.66666667,16.07275127,9.279607271,39.92692756
Hot,2,PAR5xDAV6,individual,Parke5,Davies6,north,central,hybrid,29.65,6.43,3,0,0,0,0
Hot,2,PAR5xPAR4,individual,Parke5,Parke4,north,north,north,29.65,6.43,3,3.333333333,5.773502692,3.333333333,14.34217577
Hot,2,PAR6bulkxDAV6bulk,bulk,Parke6Bulk,Davies6bulk,north,central,hybrid,29.65,6.43,6,17.04545455,9.75209238,3.981275043,10.23419331
