MCMC	Heritability
1044	0.844828
1045	0.885057
1046	0.971264
1047	1
1048	0.968391
1049	0.91954
1050	0.956897
1051	0.91092
1052	0.761494
1053	0.954023
1054	0.945402
1055	0.873563
1056	0.931034
1057	0.951149
1058	0.864943
1059	0.951149
1060	0.979885
1061	0.784483
1062	0.962644
1063	0.948276
1064	0.977011
1065	0.982759
1066	0.939655
1067	0.971264
1068	0.913793
1069	0.956897
1070	0.896552
1071	0.962644
1072	0.925287
1073	0.954023
1074	0.931034
1075	0.931034
1076	0.95977
1077	0.735632
1078	0.867816
1079	0.833333
1080	0.856322
1081	0.965517
1082	0.925287
1083	0.678161
1084	0.954023
1085	0.948276
1086	0.936782
1087	1
1088	0.91954
1089	0.91954
1090	0.954023
1091	0.890805
1092	0.853448
1093	0.954023
1094	0.836207
1095	0.75
1096	1
1097	0.853448
1098	0.936782
1099	0.833333
1100	0.948276
1101	0.718391
1102	0.704023
1103	0.962644
1104	0.913793
1105	0.755747
1106	0.810345
1107	0.767241
1108	0.770115
1109	0.948276
1110	0.956897
1111	0.948276
1112	0.945402
1113	0.977011
1114	0.867816
1115	0.795977
1116	0.91954
1117	0.945402
1118	0.95977
1119	0.862069
1120	0.701149
1121	0.885057
1122	0.856322
1123	0.873563
1124	0.977011
1125	0.977011
1126	0.836207
1127	0.954023
1128	0.784483
1129	0.864943
1130	0.867816
1131	0.942529
1132	0.971264
1133	0.971264
1134	0.925287
1135	0.933908
1136	0.813218
1137	0.890805
1138	0.948276
1139	1
1140	0.954023
1141	0.844828
1142	0.994253
1143	0.902299
1144	0.936782
1145	0.844828
1146	0.971264
1147	0.948276
1148	0.83908
1149	0.974138
1150	0.896552
1151	0.715517
1152	0.925287
1153	0.948276
1154	0.979885
1155	0.890805
1156	0.977011
1157	0.925287
1158	0.974138
1159	0.91954
1160	0.87069
1161	0.867816
1162	0.945402
1163	0.887931
1164	0.956897
1165	0.905172
1166	0.962644
1167	0.804598
1168	0.916667
1169	0.795977
1170	0.761494
1171	0.801724
1172	0.913793
1173	0.95977
1174	0.977011
1175	0.939655
1176	0.954023
1177	0.942529
1178	0.988506
1179	0.956897
1180	1
1181	0.945402
1182	0.902299
1183	0.991379
1184	0.95977
1185	0.91954
1186	0.95977
1187	0.962644
1188	0.905172
1189	0.933908
1190	0.752874
1191	0.913793
1192	0.965517
1193	0.931034
1194	0.905172
1195	0.905172
1196	0.95977
1197	0.942529
1198	0.744253
1199	0.971264
1200	0.974138
1201	0.551724
1202	0.962644
1203	0.954023
1204	0.977011
1205	0.971264
1206	0.971264
1207	0.755747
1208	0.965517
1209	0.982759
1210	0.844828
1211	0.902299
1212	0.908046
1213	1
1214	0.902299
1215	0.977011
1216	0.948276
1217	0.954023
1218	0.945402
1219	0.520115
1220	0.991379
1221	0.882184
1222	0.942529
1223	0.928161
1224	0.95977
1225	0.908046
1226	0.859195
1227	0.922414
1228	0.936782
1229	0.902299
1230	0.925287
1231	0.908046
1232	0.974138
1233	0.977011
1234	0.841954
1235	1
1236	0.91092
1237	0.948276
1238	0.931034
1239	0.896552
1240	0.91954
1241	0.876437
1242	0.899425
1243	0.885057
1244	0.925287
1245	0.925287
1246	0.945402
1247	0.948276
1248	0.95977
1249	0.764368
1250	0.95977
1251	0.936782
1252	0.974138
1253	0.87931
1254	0.908046
1255	0.87931
1256	0.974138
1257	0.827586
1258	0.951149
1259	0.807471
1260	0.91092
1261	0.600575
1262	0.95977
1263	0.954023
1264	0.887931
1265	0.787356
1266	0.784483
1267	0.948276
1268	0.882184
1269	0.87931
1270	0.968391
1271	0.962644
1272	0.977011
1273	0.902299
1274	0.847701
1275	0.928161
1276	0.974138
1277	0.83046
1278	0.847701
1279	0.928161
1280	0.933908
1281	0.95977
1282	0.95977
1283	0.867816
1284	0.968391
1285	0.979885
1286	0.968391
1287	0.931034
1288	0.931034
1289	0.979885
1290	0.859195
1291	0.91954
1292	0.925287
1293	0.936782
1294	0.908046
1295	0.859195
1296	0.931034
1297	0.83046
1298	0.876437
1299	0.887931
1300	0.925287
1301	0.75
1302	0.982759
1303	0.977011
1304	0.905172
1305	0.956897
1306	0.936782
1307	0.956897
1308	0.936782
1309	0.977011
1310	0.974138
1311	0.70977
1312	0.916667
1313	0.87931
1314	0.95977
1315	0.95977
1316	0.971264
1317	0.876437
1318	0.862069
1319	0.951149
1320	0.948276
1321	0.939655
1322	0.945402
1323	0.95977
1324	0.864943
1325	0.867816
1326	0.899425
1327	0.87069
1328	0.968391
1329	0.971264
1330	0.945402
1331	0.887931
1332	0.968391
1333	0.945402
1334	0.859195
1335	0.954023
1336	0.968391
1337	0.965517
1338	0.936782
1339	0.890805
1340	0.962644
1341	0.974138
1342	0.856322
1343	0.948276
1344	0.971264
1345	0.801724
1346	0.951149
1347	0.899425
1348	0.968391
1349	0.75
1350	0.974138
1351	0.887931
1352	0.939655
1353	0.971264
1354	0.862069
1355	0.887931
