gene,r
aten_0.1.m1.11579.m1,0
aten_0.1.m1.11578.m1,0
aten_0.1.m1.22867.m1,0
aten_0.1.m1.22874.m1,0
aten_0.1.m1.8505.m1,0
aten_0.1.m1.8514.m1,0
aten_0.1.m1.4312.m1,0
aten_0.1.m1.4314.m1,0
aten_0.1.m1.12274.m1,0
aten_0.1.m1.12277.m1,0
aten_0.1.m1.12273.m1,0
aten_0.1.m1.12275.m1,0
aten_0.1.m1.4301.m1,0.127208544
aten_0.1.m1.21564.m1,0.046103096
aten_0.1.m1.21565.m1,0.046103096
aten_0.1.m1.27597.m1,0.077075257
aten_0.1.m1.27599.m1,0.077075257
aten_0.1.m1.27606.m1,0.077075257
aten_0.1.m1.14924.m1,0.04480393
aten_0.1.m1.14930.m1,0.04480393
aten_0.1.m1.24953.m1,0
aten_0.1.m1.24952.m1,0
aten_0.1.m1.24949.m1,0
aten_0.1.m1.30089.m1,0.030876293
aten_0.1.m1.30096.m1,0.030876293
aten_0.1.m1.407.m1,0.003670757
aten_0.1.m1.402.m1,0.003670757
aten_0.1.m1.31765.m1,0.503804398
aten_0.1.m1.31759.m1,0.503804398
aten_0.1.m1.31769.m1,0.503804398
aten_0.1.m1.31767.m1,0.503804398
aten_0.1.m1.27626.m1,0
aten_0.1.m1.27628.m1,0
aten_0.1.m1.22977.m1,0
aten_0.1.m1.38298.m1,0
aten_0.1.m1.31559.m1,0.320093686
aten_0.1.m1.31560.m1,0.320093686
aten_0.1.m1.31555.m1,0.320093686
aten_0.1.m1.28397.m1,-0.160134768
aten_0.1.m1.14728.m1,0
aten_0.1.m1.14739.m1,0
aten_0.1.m1.8167.m1,0
aten_0.1.m1.36042.m1,0
aten_0.1.m1.33180.m1,0
aten_0.1.m1.33186.m1,0
aten_0.1.m1.33183.m1,0
aten_0.1.m1.33508.m1,0.396489003
aten_0.1.m1.33506.m1,0.396489003
aten_0.1.m1.8508.m1,-0.048532904
aten_0.1.m1.8506.m1,-0.048532904
aten_0.1.m1.8502.m1,-0.048532904
aten_0.1.m1.4543.m1,0
aten_0.1.m1.18506.m1,0.996215582
aten_0.1.m1.13546.m1,0
aten_0.1.m1.13550.m1,0
aten_0.1.m1.13540.m1,0
aten_0.1.m1.13542.m1,0
aten_0.1.m1.13543.m1,0
aten_0.1.m1.1788.m1,0
aten_0.1.m1.1787.m1,0
aten_0.1.m1.35402.m1,0
aten_0.1.m1.20453.m1,1.11E-16
aten_0.1.m1.20444.m1,1.11E-16
aten_0.1.m1.20442.m1,1.11E-16
aten_0.1.m1.20449.m1,1.11E-16
aten_0.1.m1.20461.m1,1.11E-16
aten_0.1.m1.4392.m1,-0.000524544
aten_0.1.m1.4409.m1,-0.000524544
aten_0.1.m1.11743.m1,0
aten_0.1.m1.16562.m1,2.083206992
aten_0.1.m1.16564.m1,2.083206992
aten_0.1.m1.17843.m1,-0.001264225
aten_0.1.m1.24908.m1,0
aten_0.1.m1.24917.m1,0
aten_0.1.m1.22486.m1,0
aten_0.1.m1.22484.m1,0
aten_0.1.m1.29584.m1,0.04350567
aten_0.1.m1.16580.m1,0
aten_0.1.m1.16578.m1,0
aten_0.1.m1.4390.m1,0
aten_0.1.m1.4388.m1,0
aten_0.1.m1.3729.m1,0
aten_0.1.m1.3733.m1,0
aten_0.1.m1.3732.m1,0
aten_0.1.m1.3378.m1,0
aten_0.1.m1.3372.m1,0
aten_0.1.m1.3379.m1,0
aten_0.1.m1.16970.m1,0
aten_0.1.m1.4084.m1,0.091160978
aten_0.1.m1.15275.m1,0.202732304
aten_0.1.m1.15276.m1,0.202732304
aten_0.1.m1.11614.m1,0.037870814
aten_0.1.m1.26403.m1,0
aten_0.1.m1.26404.m1,0
aten_0.1.m1.22715.m1,0.206506729
aten_0.1.m1.28993.m1,0
aten_0.1.m1.28987.m1,0
aten_0.1.m1.28992.m1,0
aten_0.1.m1.28988.m1,0
aten_0.1.m1.8855.m1,0
aten_0.1.m1.8854.m1,0
aten_0.1.m1.8859.m1,0
aten_0.1.m1.30409.m1,0
aten_0.1.m1.30407.m1,0
aten_0.1.m1.30397.m1,0
aten_0.1.m1.30399.m1,0
aten_0.1.m1.30412.m1,0
aten_0.1.m1.32636.m1,0
aten_0.1.m1.32637.m1,0
aten_0.1.m1.32641.m1,0
aten_0.1.m1.36636.m1,0
aten_0.1.m1.36634.m1,0
aten_0.1.m1.36640.m1,0
aten_0.1.m1.36080.m1,-0.035700067
aten_0.1.m1.36086.m1,-0.035700067
aten_0.1.m1.16634.m1,0.069758343
aten_0.1.m1.16636.m1,0.069758343
aten_0.1.m1.28394.m1,0
aten_0.1.m1.28396.m1,0
aten_0.1.m1.30854.m1,0
aten_0.1.m1.30851.m1,0
aten_0.1.m1.30847.m1,0
aten_0.1.m1.34959.m1,0
aten_0.1.m1.34956.m1,0
aten_0.1.m1.34955.m1,0
aten_0.1.m1.32948.m1,0
aten_0.1.m1.32951.m1,0
aten_0.1.m1.32960.m1,0
aten_0.1.m1.32962.m1,0
aten_0.1.m1.5506.m1,0
aten_0.1.m1.5511.m1,0
aten_0.1.m1.22500.m1,0
aten_0.1.m1.22508.m1,0
aten_0.1.m1.33355.m1,0
aten_0.1.m1.33437.m1,0
aten_0.1.m1.33433.m1,0
aten_0.1.m1.3140.m1,0
aten_0.1.m1.3954.m1,0
aten_0.1.m1.3955.m1,0
aten_0.1.m1.3960.m1,0
aten_0.1.m1.17584.m1,0
aten_0.1.m1.11785.m1,0.229766123
aten_0.1.m1.11786.m1,0.229766123
aten_0.1.m1.11790.m1,0.229766123
aten_0.1.m1.21070.m1,0.037870814
aten_0.1.m1.21076.m1,0.037870814
aten_0.1.m1.8154.m1,0
aten_0.1.m1.5475.m1,0
aten_0.1.m1.18818.m1,0
aten_0.1.m1.18815.m1,0
aten_0.1.m1.30825.m1,0
aten_0.1.m1.30822.m1,0
aten_0.1.m1.30817.m1,0
aten_0.1.m1.3791.m1,0
aten_0.1.m1.3793.m1,0
aten_0.1.m1.27026.m1,0
aten_0.1.m1.28446.m1,0.295197162
aten_0.1.m1.12801.m1,0.016394939
aten_0.1.m1.12803.m1,0.016394939
aten_0.1.m1.12802.m1,0.016394939
aten_0.1.m1.12799.m1,0.016394939
aten_0.1.m1.5480.m1,0.103642664
aten_0.1.m1.5492.m1,0.103642664
aten_0.1.m1.30349.m1,0.392059194
aten_0.1.m1.30348.m1,0.392059194
aten_0.1.m1.30354.m1,0.392059194
aten_0.1.m1.7828.m1,0
aten_0.1.m1.7186.m1,0
aten_0.1.m1.7200.m1,0
aten_0.1.m1.7198.m1,0
aten_0.1.m1.7195.m1,0
aten_0.1.m1.7197.m1,0
aten_0.1.m1.36808.m1,0
aten_0.1.m1.36804.m1,0
aten_0.1.m1.5028.m1,0.244284963
aten_0.1.m1.5346.m1,0
aten_0.1.m1.5342.m1,0
aten_0.1.m1.4837.m1,0.021020002
aten_0.1.m1.4838.m1,0.021020002
aten_0.1.m1.16937.m1,0
aten_0.1.m1.16936.m1,0
aten_0.1.m1.16934.m1,0
aten_0.1.m1.16935.m1,0
aten_0.1.m1.22897.m1,0
aten_0.1.m1.7139.m1,0
aten_0.1.m1.7140.m1,0
