"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-78 0.7479611270668 6 6 "GO:0005314;GO:0015501;GO:0005283;GO:0140161;GO:0005343;GO:0005416;GO:0015355" "amino acid:cation symporter activity" 0.997887460183374
198 0.247344586529775 2 12 "GO:0005319" "lipid transporter activity" 0.974549712503681
-252 0.546666292993039 2 2 "GO:0005337" "nucleoside transmembrane transporter activity" 0.974549712503681
702 0.0397645539627993 6 3 "GO:0005338" "nucleotide-sugar transmembrane transporter activity" 0.776481227498345
-162 0.697822948775833 2 2 "GO:0005344;GO:0140104" "oxygen carrier activity" 0.997887460183374
318 0.350736243585843 4 3 "GO:0005355;GO:0015149;GO:0015145;GO:0051119" "hexose transmembrane transporter activity" 0.974549712503681
173 0.612875908483102 2 3 "GO:0005385" "zinc ion transmembrane transporter activity" 0.974549712503681
241 0.415005530021717 3 4 "GO:0005402;GO:0015144" "carbohydrate transmembrane transporter activity" 0.974549712503681
473 0.257202967902593 4 2 "GO:0005412" "glucose:sodium symporter activity" 0.974549712503681
740 0.0764377153612059 2 2 "GO:0005459;GO:0015165" "UDP-galactose transmembrane transporter activity" 0.811089933376911
-454 0.276820272066544 3 2 "GO:0005496" "steroid binding" 0.974549712503681
-150 0.720565322284717 3 2 "GO:0005502;GO:0016918;GO:0005501;GO:0019840" "retinal binding" 0.997887460183374
-102 0.584468894271511 3 10 "GO:0005506" "iron ion binding" 0.974549712503681
33 0.818756724441437 5 17 "GO:0005507" "copper ion binding" 0.997887460183374
93 0.184736761971639 2 74 "GO:0005509" "calcium ion binding" 0.963710108285383
42 0.386956962003107 2 159 "GO:0005515" "protein binding" 0.974549712503681
-17 0.938403352327575 2 7 "GO:0005516" "calmodulin binding" 0.997887460183374
312 0.361190251051303 2 3 "GO:0005518" "collagen binding" 0.974549712503681
15 0.778656227729892 4 130 "GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0036094;GO:1901265;GO:0097367;GO:0043168" "small molecule binding" 0.997887460183374
-335 0.165829041600399 4 6 "GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0001882;GO:0019001" "ribonucleoside binding" 0.93196351541246
-353 0.113848757202895 3 7 "GO:0005543" "phospholipid binding" 0.848444309631099
-454 0.276820272066544 2 2 "GO:0005544" "calcium-dependent phospholipid binding" 0.974549712503681
-307 0.463325625476081 5 2 "GO:0005546;GO:1902936;GO:1901981" "phosphatidylinositol-4,5-bisphosphate binding" 0.974549712503681
-58 0.795074379570394 4 7 "GO:0008066" "glutamate receptor activity" 0.997887460183374
-100 0.770559012296296 2 3 "GO:0008081" "phosphoric diester hydrolase activity" 0.997887460183374
337 0.163200606750083 2 6 "GO:0008135" "translation factor activity, RNA binding" 0.93196351541246
172 0.359097698014165 2 10 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.974549712503681
8 0.985180775887368 2 2 "GO:0008170" "N-methyltransferase activity" 0.997887460183374
221 0.0531323991049345 4 27 "GO:0008188" "neuropeptide receptor activity" 0.776481227498345
-52 0.75291151855308 4 13 "GO:0008194" "UDP-glycosyltransferase activity" 0.997887460183374
-63 0.552616166416996 2 31 "GO:0008227" "G protein-coupled amine receptor activity" 0.974549712503681
122 0.424248029060655 2 15 "GO:0008238" "exopeptidase activity" 0.974549712503681
8 0.985180775887368 2 2 "GO:0008253;GO:0008252" "5'-nucleotidase activity" 0.997887460183374
122 0.585019223334586 2 7 "GO:0008270" "zinc ion binding" 0.974549712503681
-132 0.298367927657697 2 22 "GO:0008289" "lipid binding" 0.974549712503681
-372 0.372949040421125 3 2 "GO:0008374" "O-acyltransferase activity" 0.974549712503681
-143 0.495283871892919 2 8 "GO:0008376" "acetylgalactosaminyltransferase activity" 0.974549712503681
109 0.650365952347702 3 6 "GO:0008483;GO:0016769" "transaminase activity" 0.993471855350615
55 0.852047852928845 2 4 "GO:0008484;GO:0003943" "sulfuric ester hydrolase activity" 0.997887460183374
0 0.997887460183374 2 30 "GO:0008509" "anion transmembrane transporter activity" 0.997887460183374
